GEOID10_Tract,Tract Pop,geo_pr_white,geo_pr_black,geo_pr_aian,geo_pr_api,geo_pr_mult,geo_pr_hispanic,here,here_given_white,here_given_black,here_given_aian,here_given_api,here_given_mult,here_given_hispanic
55131430100,4282,0.970808034,0.001868286,0.003035965,0.003970107,0.003736572,0.016581037,0.000984935,0.001106696,3.40396E-05,0.000376991,0.000190692,0.000487895,0.000355316
55131440103,3517,0.957918681,0.005970998,0.001705999,0.006823998,0.002843332,0.024736992,0.000808972,0.000896911,8.93541E-05,0.000173996,0.000269213,0.000304935,0.000435387
55131440104,4130,0.935090969,0.006784801,0.003150086,0.009450259,0.004361658,0.041162228,0.000949973,0.00102814,0.000119229,0.000377277,0.000437803,0.000549298,0.000850757
55131440105,2511,0.974910394,0.001592991,0.001592991,0.006770211,0.002787734,0.012345679,0.000577574,0.000651718,1.70198E-05,0.000115997,0.000190692,0.000213454,0.000155138
55131440106,2909,0.977655552,0.000687521,0.002750086,0.004125129,0.003437607,0.011344105,0.000669121,0.000757143,8.50991E-06,0.000231994,0.000134606,0.000304935,0.000165147
55131440200,3053,0.948247625,0.003603013,0.00294792,0.005240747,0.005568293,0.034392401,0.000702244,0.00077072,4.68045E-05,0.000260994,0.000179475,0.000518389,0.000525468
55131450103,3881,0.967781844,0.006445004,0.002578002,0.005156003,0.004898203,0.013140943,0.000892698,0.00099993,0.000106429,0.000290145,0.000224461,0.000579678,0.000255227
55131450104,4733,0.974854449,0.002113276,0.001690621,0.005705847,0.004226553,0.011409254,0.001088673,0.001228357,4.25587E-05,0.000232044,0.000302929,0.00061,0.000270241
55131450105,1980,0.977257972,0.001011654,0.000505827,0.004046617,0.004046617,0.013131313,0.000455435,0.000515137,8.523E-06,2.90439E-05,8.98756E-05,0.000244323,0.000130116
55131450106,4474,0.972057404,0.003353464,0.003353464,0.005365542,0.002906335,0.012963791,0.001029099,0.001157807,6.38388E-05,0.000435088,0.000269274,0.000396505,0.000290258
55131460101,4686,0.965200056,0.008328054,0.001708319,0.011317611,0.002562478,0.010883483,0.001077862,0.001204115,0.000166051,0.000232145,0.000594897,0.000366158,0.000255227
55131460102,3910,0.97314578,0.00230179,0.00230179,0.008439898,0.002557545,0.011253197,0.000899369,0.001012985,3.82946E-05,0.000260994,0.000370168,0.000304935,0.000220196
55131470100,3977,0.952225295,0.012572291,0.00301735,0.019612773,0.002765904,0.009806387,0.00091478,0.001008193,0.000212748,0.000347992,0.000874942,0.000335428,0.000195174
55131470202,4739,0.942584709,0.0162551,0.001477736,0.020477204,0.006755366,0.012449884,0.001090053,0.001189201,0.000327772,0.000203082,0.001088534,0.000976208,0.000295263
55131470203,3361,0.926426843,0.020858758,0.002383858,0.022646652,0.008939468,0.018744421,0.000773089,0.000828949,0.000298299,0.000232347,0.000853802,0.000916193,0.000315281
55131470204,2844,0.898030942,0.029887482,0.000703235,0.053094233,0.005977496,0.01230661,0.00065417,0.000679938,0.000361671,5.79986E-05,0.001693797,0.000518389,0.000175156
55133200101,3516,0.951051905,0.009109147,0.001992626,0.014802364,0.007401182,0.015642776,0.000808742,0.000890228,0.000136277,0.000203171,0.0005838,0.000793518,0.000275245
55133200102,3947,0.950342032,0.01089435,0.001520142,0.012667849,0.004813783,0.019761844,0.000907879,0.000998609,0.000182963,0.000173996,0.00056086,0.000579376,0.000390347
55133200103,2376,0.933481444,0.016000133,0,0.022315975,0.008842179,0.019360269,0.000546522,0.000590474,0.000161758,0,0.000594767,0.000640638,0.000230205
55133200201,3034,0.956480721,0.016155655,0.001978243,0.01681507,0.002307951,0.00626236,0.000697873,0.000772574,0.000208562,0.000174054,0.000572267,0.000213525,9.50846E-05
55133200202,3392,0.924489462,0.029498707,0.002359897,0.029498707,0.003834832,0.010318396,0.00078022,0.000834846,0.000425749,0.000232133,0.001122389,0.000396651,0.000175156
55133200300,3223,0.928327645,0.019236736,0.002482159,0.029165374,0.004033509,0.016754576,0.000741347,0.000796544,0.000263807,0.000231994,0.001054417,0.000396415,0.000270241
55133200400,4804,0.880099917,0.050791007,0.002914238,0.044962531,0.006452956,0.014779351,0.001105004,0.001125598,0.001038209,0.00040599,0.002422915,0.000945297,0.000355316
55133200500,3976,0.887801356,0.035974949,0.002012585,0.058868098,0.003773596,0.011569416,0.00091455,0.000939746,0.000608614,0.000232053,0.002625493,0.000457518,0.000230205
55133200600,1517,0.914304548,0.027686223,0.005273566,0.013843111,0.007251154,0.031641397,0.000348937,0.000369254,0.000178708,0.000231994,0.000235561,0.000335428,0.000240214
55133200700,3018,0.910462713,0.018905783,0.002985124,0.046766937,0.004643526,0.016235918,0.000694193,0.000731526,0.000242778,0.000261258,0.001583225,0.00042734,0.000245218
55133200801,3682,0.94538622,0.004619593,0.000271741,0.036413266,0.002173926,0.011135253,0.000846925,0.000926705,7.2374E-05,2.90152E-05,0.001503931,0.000244082,0.000205183
55133200803,3462,0.930046059,0.008673106,0.000867311,0.047702083,0.002312828,0.010398614,0.000796321,0.000857195,0.000127761,8.70742E-05,0.00185246,0.000244161,0.00018016
55133200804,2791,0.902185597,0.009315657,0.000358295,0.067001075,0.004657829,0.016481548,0.000641979,0.000670354,0.000110629,2.89993E-05,0.002097617,0.000396415,0.000230205
55133200901,3082,0.927278646,0.012662418,0.00129871,0.044480803,0.004545484,0.009733939,0.000708914,0.000760836,0.000166052,0.000116073,0.001537764,0.000427188,0.000150134
55133200902,3056,0.924410995,0.007198953,0.002290576,0.043848168,0.007526178,0.014725131,0.000702934,0.000752085,9.3609E-05,0.000202995,0.001503105,0.00070135,0.0002252
